name,price,speed,spin,control,tackiness,weight,hardness,consistency
Xiom Vega Asia,34,9.0,8.7,8.5,2.5,4.1,5.7,9.3
Xiom Vega Europe,38,8.7,9.0,9.1,2.0,3.4,2.8,9.3
Xiom Vega Japan,39,9.1,8.9,8.8,1.9,4.9,5.3,9.5
Xiom Vega Pro,35,9.1,9.2,8.8,2.3,5.6,7.0,9.2
Yasaka Mark V,35,8.0,8.2,8.7,2.7,4.1,4.6,9.5
Yasaka Mark V HPS,45,9.0,9.1,9.1,3.9,3.6,4.6,9.0
Yasaka Rakza 7,50,9.0,9.3,8.9,2.9,5.0,6.1,9.5
Yasaka Rakza 7 Soft,34,8.6,9.2,9.0,2.5,3.8,2.5,9.7
Yasaka Rakza 9,53,9.4,9.4,8.9,2.4,4.6,6.3,9.3
Yasaka Rakza X,37,9.0,9.0,9.0,2.4,4.7,6.4,9.6
Yasaka Rakza Z,43,8.8,9.5,9.2,6.4,6.7,7.9,9.4
Yasaka Rising Dragon,37,8.9,9.5,9.3,6.0,5.5,6.4,8.7
Yinhe Big Dipper,25,8.6,8.9,8.5,5.3,6.5,7.3,8.5
Yinhe Mercury II,5,8.6,8.9,8.7,6.1,5.0,4.7,8.3
Yinhe Moon,20,8.7,8.6,8.8,1.8,4.5,5.5,8.0
Yinhe Moon Pro,40,8.9,9.2,9.1,6.0,4.9,5.4,9.1
Yinhe Sun,16,8.9,9.0,9.1,2.0,5.8,5.3,8.8
