Name,Price,Speed,Control,Stiffness,Weight,Hardness,Consistency,Grip,GripType
Xiom Zetro Quad,90,9,9,5.9,92,4.9,9.5,PENHOLD,
Xiom Zetro Quad,90,9,9,5.9,92,4.9,9.5,SHAKEHAND,FL
Xiom Zetro Quad,90,9,9,5.9,92,4.9,9.5,SHAKEHAND,ST
Yasaka Dynamix 17,73,9.5,9.1,8.3,90,8.7,9.4,PENHOLD,
Yasaka Dynamix 17,73,9.5,9.1,8.3,90,8.7,9.4,SHAKEHAND,ST
Yasaka Extra Special,41,8.8,8.9,5.4,88,6.2,8.6,PENHOLD,
Yasaka Extra Special,41,8.8,8.9,5.4,88,6.2,8.6,SHAKEHAND,FL
Yasaka Extra Special,41,8.8,8.9,5.4,88,6.2,8.6,SHAKEHAND,ST
Yasaka Gatien Extra,38,7.6,8.9,3.7,84,4.6,9.2,SHAKEHAND,FL
Yasaka Gatien Extra,38,7.6,8.9,3.7,84,4.6,9.2,SHAKEHAND,ST
Yasaka Goiabao 5,52,9.3,9.2,6.2,86,7.3,9.7,PENHOLD,
Yasaka Goiabao 5,52,9.3,9.2,6.2,86,7.3,9.7,SHAKEHAND,FL
Yasaka Goiabao 5,52,9.3,9.2,6.2,86,7.3,9.7,SHAKEHAND,ST
Yasaka Ma Lin Soft Carbon,50,7.7,8.3,4.7,89,4.5,6.9,PENHOLD,
Yasaka Ma Lin Soft Carbon,50,7.7,8.3,4.7,89,4.5,6.9,SHAKEHAND,FL
Yasaka Ma Lin Soft Carbon,50,7.7,8.3,4.7,89,4.5,6.9,SHAKEHAND,ST
Yasaka Sweden Classic,40,6.7,9.2,2.8,82,3.5,6.2,PENHOLD,
Yasaka Sweden Classic,40,6.7,9.2,2.8,82,3.5,6.2,SHAKEHAND,FL
Yasaka Sweden Classic,40,6.7,9.2,2.8,82,3.5,6.2,SHAKEHAND,ST
Yasaka Sweden Extra,43,7.9,9.2,3.7,84,4.8,9.4,PENHOLD,
Yasaka Sweden Extra,43,7.9,9.2,3.7,84,4.8,9.4,SHAKEHAND,FL
Yasaka Sweden Extra,43,7.9,9.2,3.7,84,4.8,9.4,SHAKEHAND,ST
Yinhe MC-2,45,8.2,9.3,4,88,4.2,9.5,SHAKEHAND,FL
Yinhe N-9,15,9.1,9.1,6.6,86,7.2,8.8,SHAKEHAND,FL
Yinhe N-9,15,9.1,9.1,6.6,86,7.2,8.8,SHAKEHAND,ST
Yinhe T-11,25,9.5,8.7,7,70,7.1,8.3,PENHOLD,
Yinhe T-11,25,9.5,8.7,7,70,7.1,8.3,SHAKEHAND,FL
